Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
15/02/2018,"3 FR MATTHEW STREET, TIPPERARY, CO TIPPERARY",,Tipperary,"€71,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2019,"18 RAHEEN PARK, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2017,"21 Ashfield Avenue, Ridgewood, Swords",,Dublin,"€308,370.04",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
13/07/2010,"Crosspatrick, Grangeclare West, Kilmeague",,Kildare,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2018,"GRANARD ST, BALLYJAMESDUFF, CAVAN",,Cavan,"€118,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2014,"6 Elden, Maryborough Hill, Douglas",,Cork,"€445,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
06/09/2013,"Derreens, Holywell, Ballyhaunis",,Mayo,"€163,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/05/2015,"CURRAGHISHAL, KILLEAGH, CORK",,Cork,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/11/2018,"788 ROWANVILLE, KILDARE, KILDARE",,Kildare,"€173,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
22/12/2018,"26 AND 27 AN GLEAN RUA, KILLYLASTIN, LETTERKENNY DONEGAL",,Donegal,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2012,"30 Richmond Park, Monkstown",,Dublin,"€328,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2021,"ARDNASILLAGH, OUGHTERARD, CO GALWAY",,Galway,"€266,575.00",No,No,Second-Hand Dwelling house /Apartment,
26/05/2014,"8 WATERSIDE, WATERFORD, WATERFORD",,Waterford,"€52,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2018,"138 BALLINCLEA HEIGHT, KILLINEY, CO DUBLIN",,Dublin,"€545,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2011,"90 Redford Park, Greystones",,Wicklow,"€237,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2020,"22 CAISEAL NA RI, GOLDEN RD, CASHEL",,Tipperary,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2015,"29 FERNCARRIG RISE, SANDYFORD, DUBLIN 18",Dublin 18,Dublin,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2017,"LOUGH VIEW, CONVENT RD, ROSCOMMON",,Roscommon,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/11/2017,"72 ABHAINN NA RI, ORANMORE, GALWAY",,Galway,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/09/2015,"5 WATERS EDGE, OLDTOWN DEMESNE, NAAS",,Kildare,"€196,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2019,"COTTAGE 2, CORSEANOLI, GLENDERRY",,Kerry,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2014,"7 The Avenue, Inse Bay, Laytown",,Meath,"€95,154.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/03/2014,"25 SARSFIELD PK, LUCAN, DUBLIN",,Dublin,"€177,500.00",No,No,Second-Hand Dwelling house /Apartment,
05/11/2010,"35A Moatlands, Rathoath",,Meath,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/05/2019,"SHAROSE, NEWRATH, FERRYBANK",,Kilkenny,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/06/2016,"10 Tochar View, Causeway, County Kerry",,Kerry,"€98,678.42",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
30/09/2015,"90 BUNBURY GATE CRESCENT, SWORDS, DUBLIN",,Dublin,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/02/2011,"LISMORE, EMOCLEW, ARKLOW",,Wicklow,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/06/2016,"No 102 Monksfield, Abbeyside, Dungarvan",,Waterford,"€146,550.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/07/2021,"24 THE GROVE, SHANNONVALE, OLD CRATLOE ROAD",,Limerick,"€314,596.00",No,No,Second-Hand Dwelling house /Apartment,
11/02/2010,"5 Fernhill Court, Glebemount, Wicklow",,Wicklow,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2013,"No 7 Ard Mhuire, Loughtagalla, Thurles",,Tipperary,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2016,"30 MARLEY COURT, RATHFARNHAM, DUBLIN 14",Dublin 14,Dublin,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/03/2020,"15 TARA COURT CRESENT, NAVAN, MEATH",,Meath,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2020,"4 HEATHER CLOSE, COOLCASLAGH, KILLARNEY",,Kerry,"€217,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2016,"CARRAHANE LOWER, ARDFERT, CO KERRY",,Kerry,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2012,"The Old Parochial House, Balyna, Broadford",,Kildare,"€652,500.00",No,No,Second-Hand Dwelling house /Apartment,
